"g","t","att","se","pvalue","outcome","margin"
2017,2007,106.939152246381,116.258803515355,0.357657930576242,"fiscal_balance_pc","intensive"
2017,2012,1.67633164546068,193.91495993472,0.993102633853277,"fiscal_balance_pc","intensive"
2017,2017,-55.5973393471337,369.027999162245,0.880244824076023,"fiscal_balance_pc","intensive"
2017,2022,-265.105814473749,181.237265431133,0.143534282055704,"fiscal_balance_pc","intensive"
2022,2007,57.8192309628681,82.5943730068162,0.483903337017682,"fiscal_balance_pc","intensive"
2022,2012,31.6354407644387,62.8324548293921,0.614620613835533,"fiscal_balance_pc","intensive"
2022,2017,827.718214001037,1409.80955013341,0.557127483927277,"fiscal_balance_pc","intensive"
2022,2022,-864.874989238004,1418.74109894944,0.542121947404129,"fiscal_balance_pc","intensive"
2017,2007,-88.1805562671951,134.241770165381,0.511258930408748,"exp_capital_pc","intensive"
2017,2012,177.072068242194,213.199457286286,0.406229854908726,"exp_capital_pc","intensive"
2017,2017,-200.346272685879,144.308503841361,0.16503985539521,"exp_capital_pc","intensive"
2017,2022,-229.754023024093,152.022056358051,0.130706858975127,"exp_capital_pc","intensive"
2022,2007,-28.1355744812325,57.3700129507153,0.623834596952139,"exp_capital_pc","intensive"
2022,2012,-22.9901383621707,78.8924262122968,0.770736832575452,"exp_capital_pc","intensive"
2022,2017,-12.7916390190409,63.4519376782255,0.840232792003856,"exp_capital_pc","intensive"
2022,2022,-12.3190251415751,44.1306012703585,0.780130273100815,"exp_capital_pc","intensive"
2017,2007,124.661526044342,222.770028471168,0.575754086944382,"rev_total_pc","intensive"
2017,2012,-300.157499893011,340.863046841459,0.378544682233244,"rev_total_pc","intensive"
2017,2017,-335.996372718979,286.780807997858,0.241352116319665,"rev_total_pc","intensive"
2017,2022,-161.22944735236,461.298004836844,0.726704541915217,"rev_total_pc","intensive"
2022,2007,31.854764797511,122.059316889236,0.794109672636547,"rev_total_pc","intensive"
2022,2012,-188.918664797075,163.039804138312,0.246567377376648,"rev_total_pc","intensive"
2022,2017,780.583200762222,1447.57509601831,0.589724692002786,"rev_total_pc","intensive"
2022,2022,-706.496558602868,1314.20425490619,0.590863554451946,"rev_total_pc","intensive"
2017,2007,568.796083449694,540.8475936697,0.292948523203186,"fiscal_balance_pc","extensive"
2017,2012,227.68851898297,762.853344069987,0.765344788495183,"fiscal_balance_pc","extensive"
2017,2017,-556.177474099738,704.280951618828,0.429697345829477,"fiscal_balance_pc","extensive"
2017,2022,-912.635216353493,631.901188568341,0.148663358490106,"fiscal_balance_pc","extensive"
2022,2007,187.276713359995,144.519193131415,0.195023551175119,"fiscal_balance_pc","extensive"
2022,2012,103.625467898964,251.63794146334,0.680483214409498,"fiscal_balance_pc","extensive"
2022,2017,-306.882954021373,223.126356640001,0.169014463808877,"fiscal_balance_pc","extensive"
2022,2022,-210.985585301063,191.039557805905,0.269416261625107,"fiscal_balance_pc","extensive"
2017,2007,-288.117746486125,262.265305210527,0.271954088237775,"exp_capital_pc","extensive"
2017,2012,561.648439385515,429.336726990479,0.190813275090956,"exp_capital_pc","extensive"
2017,2017,-384.742362815942,240.416502734609,0.109528511301848,"exp_capital_pc","extensive"
2017,2022,-181.153902191208,203.757995785269,0.373968676056983,"exp_capital_pc","extensive"
2022,2007,-123.180285117162,98.9252530724978,0.213063592082459,"exp_capital_pc","extensive"
2022,2012,178.207424324548,138.410146555525,0.197909095790293,"exp_capital_pc","extensive"
2022,2017,-81.2548511583827,67.4413068929069,0.228271561891391,"exp_capital_pc","extensive"
2022,2022,64.5600100090011,57.0578467223024,0.257851659835723,"exp_capital_pc","extensive"
2017,2007,898.906244393576,767.474679338048,0.241497503675078,"rev_total_pc","extensive"
2017,2012,822.503066583096,504.449170146545,0.102996411660259,"rev_total_pc","extensive"
2017,2017,-945.531860241467,790.992081024771,0.231940696200854,"rev_total_pc","extensive"
2017,2022,-623.224125058778,935.937168310054,0.505486245509595,"rev_total_pc","extensive"
2022,2007,346.303722755574,344.12545544391,0.314256919354307,"rev_total_pc","extensive"
2022,2012,311.027720473055,194.791380807463,0.110327646689242,"rev_total_pc","extensive"
2022,2017,-514.926379782126,404.824544340547,0.203382282863306,"rev_total_pc","extensive"
2022,2022,34.0491163349437,270.972047425998,0.900004662814932,"rev_total_pc","extensive"
