"period","lb","ub","method","Delta","Mbar"
"e=0",-287.981977274754,176.66121295006,"C-LF","DeltaRM",0
"e=0",-457.383140377551,321.862209895314,"C-LF","DeltaRM",0.5
"e=0",-694.544768721467,544.503738544704,"C-LF","DeltaRM",1
"e=0",-951.066529991416,791.345433351637,"C-LF","DeltaRM",1.5
"e=0",-1212.42832449287,1047.86719462159,"C-LF","DeltaRM",2
"e=+5",-374.037726677608,344.410976049679,"C-LF","DeltaRM",0
"e=+5",-722.152046555778,670.305232956901,"C-LF","DeltaRM",0.5
"e=+5",-1210.99343191661,1151.73993066075,"C-LF","DeltaRM",1
"e=+5",-1722.05488024839,1670.20806664952,"C-LF","DeltaRM",1.5
"e=+5",-2255.33639155112,2196.08289029526,"C-LF","DeltaRM",2
